round,circuitId,date,time,fp1_date,fp1_time,quali_date,quali_time,year
12,75,2020-10-25,12:10:00,,,,,2020
13,21,2020-11-01,12:10:00,,,,,2020
14,5,2020-11-15,10:10:00,,,,,2020
15,3,2020-11-29,14:10:00,,,,,2020
16,3,2020-12-06,17:10:00,,,,,2020
17,24,2020-12-13,13:10:00,,,,,2020
2,21,2021-04-18,13:00:00,2021-04-16,,2021-04-17,,2021
1,3,2022-03-20,15:00:00,2022-03-18,12:00:00,2022-03-19,15:00:00,2022
1,3,2021-03-28,15:00:00,2021-03-26,,2021-03-27,,2021
20,78,2021-11-21,14:00:00,2021-11-19,,2021-11-20,,2021
3,75,2021-05-02,14:00:00,2021-04-30,,2021-05-01,,2021
4,4,2021-05-09,13:00:00,2021-05-07,,2021-05-08,,2021
5,6,2021-05-23,13:00:00,2021-05-21,,2021-05-22,,2021
6,73,2021-06-06,12:00:00,2021-06-04,,2021-06-05,,2021
8,70,2021-06-27,13:00:00,2021-06-25,,2021-06-26,,2021
7,34,2021-06-20,13:00:00,2021-06-18,,2021-06-19,,2021
9,70,2021-07-04,13:00:00,2021-07-02,,2021-07-03,,2021
10,9,2021-07-18,14:00:00,2021-07-16,,2021-07-16,,2021
11,11,2021-08-01,13:00:00,2021-07-30,,2021-07-31,,2021
12,13,2021-08-29,13:00:00,2021-08-27,,2021-08-28,,2021
13,39,2021-09-05,13:00:00,2021-09-03,,2021-09-04,,2021
14,14,2021-09-12,13:00:00,2021-09-10,,2021-09-10,,2021
15,71,2021-09-26,12:00:00,2021-09-24,,2021-09-25,,2021
16,5,2021-10-10,12:00:00,2021-10-08,,2021-10-09,,2021
17,69,2021-10-24,19:00:00,2021-10-22,,2021-10-23,,2021
18,32,2021-11-07,19:00:00,2021-11-05,,2021-11-06,,2021
19,18,2021-11-14,17:00:00,2021-11-12,,2021-11-12,,2021
21,77,2021-12-05,17:30:00,2021-12-03,,2021-12-04,,2021
22,24,2021-12-12,13:00:00,2021-12-10,,2021-12-11,,2021
2,77,2022-03-27,17:00:00,2022-03-25,14:00:00,2022-03-26,17:00:00,2022
3,1,2022-04-10,05:00:00,2022-04-08,03:00:00,2022-04-09,06:00:00,2022
4,21,2022-04-24,13:00:00,2022-04-22,11:30:00,2022-04-22,15:00:00,2022
5,79,2022-05-08,19:30:00,2022-05-06,18:30:00,2022-05-07,20:00:00,2022
6,4,2022-05-22,13:00:00,2022-05-20,12:00:00,2022-05-21,14:00:00,2022
7,6,2022-05-29,13:00:00,2022-05-27,12:00:00,2022-05-28,14:00:00,2022
8,73,2022-06-12,11:00:00,2022-06-10,11:00:00,2022-06-11,14:00:00,2022
9,7,2022-06-19,18:00:00,2022-06-17,18:00:00,2022-06-18,20:00:00,2022
10,9,2022-07-03,14:00:00,2022-07-01,12:00:00,2022-07-02,14:00:00,2022
11,70,2022-07-10,13:00:00,2022-07-08,11:30:00,2022-07-08,15:00:00,2022
12,34,2022-07-24,13:00:00,2022-07-22,12:00:00,2022-07-23,14:00:00,2022
13,11,2022-07-31,13:00:00,2022-07-29,12:00:00,2022-07-30,14:00:00,2022
14,13,2022-08-28,13:00:00,2022-08-26,12:00:00,2022-08-27,14:00:00,2022
15,39,2022-09-04,13:00:00,2022-09-02,10:30:00,2022-09-03,13:00:00,2022
16,14,2022-09-11,13:00:00,2022-09-09,12:00:00,2022-09-10,14:00:00,2022
17,15,2022-10-02,12:00:00,2022-09-30,10:00:00,2022-10-01,13:00:00,2022
18,22,2022-10-09,05:00:00,2022-10-07,03:00:00,2022-10-08,06:00:00,2022
19,69,2022-10-23,19:00:00,2022-10-21,19:00:00,2022-10-22,22:00:00,2022
20,32,2022-10-30,20:00:00,2022-10-28,18:00:00,2022-10-29,20:00:00,2022
21,18,2022-11-13,18:00:00,2022-11-11,15:30:00,2022-11-11,19:00:00,2022
22,24,2022-11-20,13:00:00,2022-11-18,10:00:00,2022-11-19,14:00:00,2022
1,3,2023-03-05,15:00:00,2023-03-03,11:30:00,2023-03-04,15:00:00,2023
2,77,2023-03-19,17:00:00,2023-03-17,13:30:00,2023-03-18,17:00:00,2023
3,1,2023-04-02,05:00:00,2023-03-31,01:30:00,2023-04-01,05:00:00,2023
4,73,2023-04-30,11:00:00,2023-04-28,09:30:00,2023-04-28,13:00:00,2023
5,79,2023-05-07,19:30:00,2023-05-05,18:00:00,2023-05-06,20:00:00,2023
6,6,2023-05-28,13:00:00,2023-05-26,11:30:00,2023-05-27,14:00:00,2023
7,4,2023-06-04,13:00:00,2023-06-02,11:30:00,2023-06-03,14:00:00,2023
8,7,2023-06-18,18:00:00,2023-06-16,17:30:00,2023-06-17,20:00:00,2023
9,70,2023-07-02,13:00:00,2023-06-30,11:30:00,2023-06-30,15:00:00,2023
10,9,2023-07-09,14:00:00,2023-07-07,11:30:00,2023-07-08,14:00:00,2023
11,11,2023-07-23,13:00:00,2023-07-21,11:30:00,2023-07-22,14:00:00,2023
12,13,2023-07-30,13:00:00,2023-07-28,11:30:00,2023-07-28,15:00:00,2023
13,39,2023-08-27,13:00:00,2023-08-25,10:30:00,2023-08-26,13:00:00,2023
14,14,2023-09-03,13:00:00,2023-09-01,11:30:00,2023-09-02,14:00:00,2023
15,15,2023-09-17,12:00:00,2023-09-15,09:30:00,2023-09-16,13:00:00,2023
16,22,2023-09-24,05:00:00,2023-09-22,02:30:00,2023-09-23,06:00:00,2023
17,78,2023-10-08,17:00:00,2023-10-06,13:30:00,2023-10-06,17:00:00,2023
18,69,2023-10-22,19:00:00,2023-10-20,17:30:00,2023-10-20,21:00:00,2023
19,32,2023-10-29,20:00:00,2023-10-27,18:30:00,2023-10-28,21:00:00,2023
20,18,2023-11-05,17:00:00,2023-11-03,14:30:00,2023-11-03,18:00:00,2023
21,80,2023-11-19,06:00:00,2023-11-16,04:30:00,2023-11-17,08:00:00,2023
22,24,2023-11-26,13:00:00,2023-11-24,09:30:00,2023-11-25,14:00:00,2023
1,3,2024-03-02,15:00:00,2024-02-29,11:30:00,2024-03-01,16:00:00,2024
2,77,2024-03-09,17:00:00,2024-03-07,13:30:00,2024-03-08,17:00:00,2024
3,1,2024-03-24,04:00:00,2024-03-22,01:30:00,2024-03-23,05:00:00,2024
4,22,2024-04-07,05:00:00,2024-04-05,02:30:00,2024-04-06,06:00:00,2024
5,17,2024-04-21,07:00:00,2024-04-19,03:30:00,2024-04-20,07:00:00,2024
6,79,2024-05-05,20:00:00,2024-05-03,16:30:00,2024-05-04,20:00:00,2024
7,21,2024-05-19,13:00:00,2024-05-17,11:30:00,2024-05-18,14:00:00,2024
8,6,2024-05-26,13:00:00,2024-05-24,11:30:00,2024-05-25,14:00:00,2024
9,7,2024-06-09,18:00:00,2024-06-07,17:30:00,2024-06-08,20:00:00,2024
10,4,2024-06-23,13:00:00,2024-06-21,11:30:00,2024-06-22,14:00:00,2024
11,70,2024-06-30,13:00:00,2024-06-28,10:30:00,2024-06-29,14:00:00,2024
12,9,2024-07-07,14:00:00,2024-07-05,11:30:00,2024-07-06,14:00:00,2024
13,11,2024-07-21,13:00:00,2024-07-19,11:30:00,2024-07-20,14:00:00,2024
14,13,2024-07-28,13:00:00,2024-07-26,11:30:00,2024-07-27,14:00:00,2024
15,39,2024-08-25,13:00:00,2024-08-23,10:30:00,2024-08-24,13:00:00,2024
16,14,2024-09-01,13:00:00,2024-08-30,11:30:00,2024-08-31,14:00:00,2024
17,73,2024-09-15,11:00:00,2024-09-13,09:30:00,2024-09-14,12:00:00,2024
18,15,2024-09-22,12:00:00,2024-09-20,09:30:00,2024-09-21,13:00:00,2024
19,69,2024-10-20,19:00:00,2024-10-18,17:30:00,2024-10-19,22:00:00,2024
20,32,2024-10-27,20:00:00,2024-10-25,18:30:00,2024-10-26,21:00:00,2024
21,18,2024-11-03,17:00:00,2024-11-01,14:30:00,2024-11-02,18:00:00,2024
22,80,2024-11-23,06:00:00,2024-11-21,02:30:00,2024-11-22,06:00:00,2024
23,78,2024-12-01,17:00:00,2024-11-29,13:30:00,2024-11-30,17:00:00,2024
24,24,2024-12-08,13:00:00,2024-12-06,09:30:00,2024-12-07,14:00:00,2024
